player_display_name,position_group,current_team,projected_ppg,projected_games,projected_total,pos_rank
Jahmyr Gibbs,RB,DET,15.9,11.7,187,2
Derrick Henry,RB,BAL,14.6,12.1,177,3
Christian McCaffrey,RB,SF,14.3,12.2,174,4
Bijan Robinson,RB,ATL,15.4,10.6,164,5
Saquon Barkley,RB,PHI,12.6,12.5,158,6
Jonathan Taylor,RB,IND,13.6,11.5,156,7
James Cook,RB,BUF,13.6,11.2,152,8
Chase Brown,RB,CIN,10.6,11.9,127,9
Kyren Williams,RB,LA,11.4,10.8,123,10
Josh Jacobs,RB,GB,10.2,11.2,114,11
D'Andre Swift,RB,CHI,9.5,11.6,110,12
Rico Dowdle,RB,CAR,8.8,11.8,103,13
Travis Etienne,RB,JAX,10.0,10.2,102,14
David Montgomery,RB,DET,8.7,11.5,100,15
Aaron Jones,RB,,8.4,11.6,98,16
Tony Pollard,RB,TEN,8.4,11.5,96,17
Kenneth Walker III,RB,SEA,8.1,10.9,88,19
James Conner,RB,ARI,8.6,10.2,87,20
Blake Corum,RB,LA,7.0,12.1,84,21
Kenneth Gainwell,RB,PIT,8.4,9.9,83,22
TreVeyon Henderson,RB,NE,7.9,10.5,83,23
Javonte Williams,RB,DAL,8.3,9.9,82,24
Zach Charbonnet,RB,SEA,7.8,10.0,78,25
Kareem Hunt,RB,KC,6.9,10.9,75,27
Tyler Allgeier,RB,ATL,6.9,10.9,75,28
Ashton Jeanty,RB,LV,7.6,9.6,73,29
Jaylen Warren,RB,PIT,7.2,10.0,72,30
Rachaad White,RB,TB,7.0,10.3,72,31
RJ Harvey,RB,DEN,6.6,9.7,64,32
Jacory Croskey-Merritt,RB,WAS,5.9,10.4,62,33
Rhamondre Stevenson,RB,NE,6.7,9.1,61,34
J.K. Dobbins,RB,DEN,7.1,8.3,59,35
Devin Singletary,RB,NYG,5.8,10.0,58,36
Isaiah Davis,RB,NYJ,4.9,11.8,57,37
Chuba Hubbard,RB,CAR,6.5,8.6,56,39
Austin Ekeler,RB,WAS,6.3,8.5,54,40
Jordan Mason,RB,MIN,4.9,11.0,54,41
Sean Tucker,RB,TB,5.3,10.1,54,42
Bucky Irving,RB,TB,5.2,10.1,53,43
Tyrone Tracy Jr.,RB,NYG,6.0,8.9,53,44
Omarion Hampton,RB,LAC,6.1,8.8,53,45
Kyle Monangai,RB,CHI,4.8,10.8,52,46
Emanuel Wilson,RB,GB,5.0,10.1,50,47
Nick Chubb,RB,HOU,4.5,10.3,46,48
Jeremy McNichols,RB,WAS,4.1,10.9,44,49
Quinshon Judkins,RB,CLE,5.4,8.2,44,50
Kimani Vidal,RB,LAC,4.8,9.1,43,51
Tyjae Spears,RB,TEN,4.8,8.4,41,52
Brian Robinson,RB,SF,4.5,8.6,39,53
Chris Rodriguez Jr.,RB,WAS,4.6,8.6,39,54
Najee Harris,RB,LAC,5.0,7.6,38,55
Michael Carter,RB,ARI,4.8,7.9,38,56
Jaylen Wright,RB,MIA,4.0,9.4,38,57
Tank Bigsby,RB,PHI,4.6,7.5,35,59
Woody Marks,RB,HOU,4.0,8.4,33,60
