player_display_name,position_group,current_team,projected_ppg,projected_games,projected_total,pos_rank
Trey McBride,TE,ARI,13.0,11.5,150,1
Brock Bowers,TE,LV,10.8,10.8,117,2
Dallas Goedert,TE,PHI,9.0,12.2,109,3
Travis Kelce,TE,KC,10.0,10.8,108,4
Kyle Pitts,TE,ATL,9.0,11.7,105,5
Juwan Johnson,TE,NO,8.4,11.6,97,6
Dalton Schultz,TE,HOU,8.4,11.4,96,7
Jake Ferguson,TE,DAL,8.6,11.1,95,8
George Kittle,TE,SF,9.2,10.3,94,9
Hunter Henry,TE,NE,8.3,10.3,85,11
Mark Andrews,TE,BAL,7.2,11.9,85,12
Tucker Kraft,TE,GB,7.3,10.3,75,13
Tyler Warren,TE,IND,7.1,10.7,75,14
Zach Ertz,TE,WAS,6.6,11.1,73,15
Cade Otton,TE,TB,7.3,9.7,72,16
Dalton Kincaid,TE,BUF,6.6,9.3,61,17
Sam LaPorta,TE,DET,5.8,10.4,60,18
AJ Barner,TE,SEA,5.4,10.3,56,19
Colston Loveland,TE,CHI,5.1,10.5,54,20
Evan Engram,TE,DEN,5.0,9.6,48,22
Brenton Strange,TE,JAX,4.9,9.8,48,23
Darren Waller,TE,MIA,5.1,9.0,46,24
Pat Freiermuth,TE,PIT,5.1,8.8,45,27
Chig Okonkwo,TE,TEN,4.3,10.5,45,28
Oronde Gadsden II,TE,LAC,4.3,10.5,45,29
Mike Gesicki,TE,CIN,5.1,8.3,43,30
Dawson Knox,TE,BUF,3.9,10.0,39,32
Colby Parkinson,TE,LA,3.9,10.1,39,33
Mason Taylor,TE,NYJ,4.1,9.5,39,34
Jonnu Smith,TE,PIT,4.5,8.4,38,35
Noah Fant,TE,CIN,4.2,8.1,34,36
Jake Tonges,TE,SF,4.3,7.9,34,37
Elijah Higgins,TE,ARI,3.3,10.1,33,38
Cole Kmet,TE,CHI,3.8,7.9,30,39
Tyler Higbee,TE,LA,3.5,8.3,29,40
Mitchell Evans,TE,CAR,3.3,8.8,29,41
Austin Hooper,TE,NE,3.9,6.7,26,42
Ja'Tavion Sanders,TE,CAR,3.0,8.6,26,43
Michael Mayer,TE,LV,2.8,8.7,25,44
Isaiah Likely,TE,BAL,3.3,7.3,24,45
Darnell Washington,TE,PIT,2.6,9.0,23,46
Davis Allen,TE,LA,2.7,8.1,22,47
Greg Dulcich,TE,MIA,2.9,7.3,21,48
Jackson Hawes,TE,BUF,2.8,7.5,21,49
Terrance Ferguson,TE,LA,2.9,7.3,21,50
Taysom Hill,TE,NO,4.7,4.2,20,51
Brock Wright,TE,DET,2.4,8.1,20,52
Tommy Tremble,TE,CAR,2.8,6.7,19,53
Jeremy Ruckert,TE,NYJ,2.1,9.2,19,54
Daniel Bellinger,TE,NYG,2.3,8.1,19,55
Luke Musgrave,TE,GB,2.2,8.8,19,56
Josh Oliver,TE,MIN,3.3,5.5,18,57
Adam Trautman,TE,DEN,2.1,7.8,16,58
Will Dissly,TE,LAC,2.3,5.6,13,59
Tanner Hudson,TE,CIN,2.3,5.8,13,61
Noah Gray,TE,KC,2.2,6.0,13,62
Julian Hill,TE,MIA,1.8,7.3,13,63
Elijah Arroyo,TE,SEA,2.3,5.6,13,64
Luke Schoonmaker,TE,DAL,1.9,6.6,12,65
Connor Heyward,TE,PIT,1.3,7.9,11,67
Drew Sample,TE,CIN,1.9,5.2,10,68
John Bates,TE,WAS,1.3,7.6,10,69
Nate Adkins,TE,DEN,1.6,6.5,10,70
Devin Culp,TE,TB,2.6,3.8,10,71
Mo Alie-Cox,TE,IND,1.7,5.3,9,72
Anthony Firkser,TE,DET,1.5,5.6,9,73
Charlie Kolar,TE,BAL,1.3,7.0,9,75
Ben Sinnott,TE,WAS,1.4,6.4,9,76
Luke Farrell,TE,SF,1.3,6.2,8,77
Lucas Krull,TE,DEN,1.5,5.2,8,78
Cade Stover,TE,HOU,1.5,5.6,8,80
Johnny Mundt,TE,JAX,1.4,5.3,7,81
Ian Thomas,TE,LV,1.2,6.0,7,82
Foster Moreau,TE,NO,1.6,4.5,7,83
James Mitchell,TE,CAR,1.6,4.3,7,84
Cameron Latu,TE,PHI,1.0,6.4,7,85
Josh Whyle,TE,GB,1.6,4.2,7,86
Brevyn Spann-Ford,TE,DAL,1.3,5.3,7,87
Tip Reiman,TE,ARI,1.1,6.1,7,88
Zaire Mitchell-Paden,TE,NO,1.3,4.8,6,89
Moliki Matavao,TE,NO,1.7,3.7,6,90
Sal Cannella,TE,CLE,2.4,2.1,5,91
Nikola Kalinic,TE,CHI,1.4,3.3,5,92
John FitzPatrick,TE,GB,0.9,6.2,5,93
Stone Smartt,TE,NYJ,1.3,4.4,5,94
Robert Tonyan,TE,KC,1.4,2.9,4,96
Shane Zylstra,TE,DET,1.4,2.6,4,97
Feleipe Franks,TE,ATL,0.6,6.1,4,98
Kylen Granson,TE,PHI,0.9,4.1,4,99
Grant Calcaterra,TE,PHI,1.0,3.9,4,100
Tanner Conner,TE,NYG,0.9,4.8,4,101
Brenden Bates,TE,CLE,1.1,3.4,4,104
Carter Runyon,TE,LV,1.0,3.8,4,105
Durham Smythe,TE,CHI,0.7,4.0,3,107
Charlie Woerner,TE,ATL,0.7,5.0,3,108
Jack Stoll,TE,NO,0.5,5.8,3,109
Andrew Ogletree,TE,IND,0.8,3.1,3,110
Ben Sims,TE,MIN,0.8,4.0,3,111
Jack Westover,TE,NE,0.8,4.2,3,112
David Martin-Robinson,TE,TEN,0.5,5.5,3,113
Jared Wiley,TE,KC,0.9,3.1,3,114
Teagan Quitoriano,TE,ATL,0.8,2.3,2,117
Ko Kieft,TE,TB,0.5,4.2,2,118
Travis Vokolek,TE,ARI,1.3,1.9,2,119
Brayden Willis,TE,SF,0.3,5.1,2,120
Colson Yankoff,TE,WAS,0.3,6.7,2,122
Thomas Fidone II,TE,NYG,1.3,1.9,2,123
Chris Manhertz,TE,NYG,0.3,4.2,1,124
Eric Saubert,TE,SEA,0.3,3.3,1,125
Quintin Morris,TE,JAX,0.2,5.2,1,128
Tucker Fisk,TE,LAC,0.4,3.4,1,129
Payne Durham,TE,TB,0.2,3.6,1,131
Ben Yurosek,TE,MIN,0.3,4.9,1,133
Pharaoh Brown,TE,ARI,0.2,1.6,0,134
Harrison Bryant,TE,HOU,0.1,3.7,0,135
Josiah Deguara,TE,ARI,0.0,4.5,0,136
Blake Whiteheart,TE,CLE,-0.0,3.4,0,137
